,TEY,NOX
1029,162.61,80.914
6423,130.9,55.22
2404,160.71,55.103
7598,162.66,58.057
3665,153.38,50.396
709,107.61,77.321
3480,132.64,63.54
2275,110.43,63.263
3037,134.34,64.393
6008,151.95,64.067
6087,130.52,57.959
6183,130.64,52.291
6015,130.52,54.567
6595,133.09,63.962
6650,120.77,56.046
2014,152.5,65.203
414,158.75,74.346
6694,132.57,61.993
94,164.52,63.887
5404,148.06,56.157
4982,148.78,51.643
35,130.41,83.696
3320,110.98,48.932
4281,128.35,46.234
7043,122.28,70.566
3839,151.76,47.167
3624,133.83,63.065
7054,134.47,72.979
6397,133.51,66.446
1380,135.11,61.503
3941,138.0,50.383
4226,109.72,48.655
5820,146.73,65.405
3224,128.92,51.63
2529,153.25,60.228
2312,109.73,65.839
403,133.31,69.323
2896,115.16,63.259
872,140.72,80.41
3793,149.32,50.676
609,134.78,81.927
1674,133.3,79.197
4666,148.87,55.039
4283,133.74,54.078
5338,112.23,54.534
2328,118.85,82.038
3715,146.99,50.143
4018,132.8,53.964
3869,133.78,71.75
3651,148.92,47.851
5769,133.36,61.339
617,129.44,62.942
3821,133.83,70.995
379,134.66,72.191
6065,130.11,56.792
1076,160.42,55.846
3387,152.9,62.733
1262,132.37,76.596
3896,128.63,43.275
1111,129.64,66.206
3560,133.1,61.88
5266,135.84,61.794
5285,150.02,57.052
514,169.37,65.508
2057,117.5,71.847
4719,130.83,57.6
4922,110.49,52.788
1719,134.31,79.959
5740,131.64,56.384
6713,117.57,62.034
2030,133.87,65.045
1526,111.04,118.92
1942,109.3,68.204
7587,109.63,88.301
6913,134.71,76.068
1221,108.72,93.855
5933,123.62,48.616
382,158.62,59.492
2924,148.18,54.342
2823,132.65,67.119
6854,129.96,61.323
7071,161.5,71.738
412,130.55,68.276
4735,150.19,59.254
3694,128.53,47.708
6100,134.23,61.512
4894,109.65,50.389
4969,123.76,50.991
2499,108.56,53.321
6763,130.51,53.654
1606,160.68,64.986
5347,133.79,63.293
4799,122.87,53.937
3276,134.75,61.578
7037,130.65,59.883
173,133.69,80.528
590,132.42,63.102
1031,159.94,68.678
7096,159.54,69.977
2459,141.17,59.561
7377,129.86,67.737
3351,142.5,58.599
1162,161.6,69.359
4317,119.1,53.546
3151,133.75,67.56
5620,139.1,64.539
4603,146.71,56.934
6918,134.5,78.683
4394,145.9,52.41
5631,156.44,72.012
4299,144.39,54.034
6937,130.25,83.309
6699,149.96,52.014
2886,136.2,55.785
393,160.2,66.327
1447,133.73,62.525
